I added the column labeled "delay", and I confirmed all corresponding records
  and their order.
The other delays are from...
  http://www.ericr.nl/wondrous/delrecs.html

		delay	N
1	1	1	2
2	7	5	3
3	8	6	6
4	16	11	7
5	19	13	9
6	20	14	18
7	23	16	25
8	111	70	27
9	112	71	54
10	115	73	73
11	118	75	97
12	121	77	129
13	124	79	171
14	127	81	231
15	130	83	313
16	143	91	327
17	144	92	649
18	170	108	703
19	178	113	871
20	181	115	1161
21	182	116	2223
22	208	132	2463
23	216	137	2919
24	237	150	3711
25	261	165	6171
26	267	169	10971
27	275	174	13255
28	278	176	17647
29	281	178	23529
30	307	194	26623
31	310	196	34239
32	323	204	35655
33	339	214	52527
34	350	221	77031
35	353	223	106239
36	374	236	142587
37	382	241	156159
38	385	243	216367
39	442	278	230631
40	448	282	410011
41	469	295	511935
42	508	319	626331
43	524	329	837799
44	527	331	1117065
45	530	333	1501353
46	556	349	1723519
47	559	351	2298025
48	562	353	3064033
49	583	366	3542887
50	596	374	3732423
51	612	384	5649499
52	664	416	6649279
53	685	429	8400511
54	688	431	11200681
55	691	433	14934241
56	704	441	15733191
57	705	442	31466382
58	744	466	36791535
59	949	592	63728127
60	950	593	127456254
61	953	595	169941673
62	956	597	226588897
63	964	602	268549803
64	965	603	537099606
65	986	616	670617279
66	987	617	1341234558
67	1000	625	1412987847
68	1008	630	1674652263
69	1050	656	2610744987
70	1087	679	4578853915
71	1131	706	4890328815
72	1132	707	9780657630
73	1153	720	12212032815
74	1184	739	12235060455
75	1210	755	13371194527
76	1213	757	17828259369
77	1219	761	31694683323
78	1220	762	63389366646
79	1228	767	75128138247
80	1234	771	133561134663
81	1242	776	158294678119
82	1255	784	166763117679
83	1307	816	202485402111
84	1308	817	404970804222
85	1321	825	426635908975
86	1324	827	568847878633
87	1332	832	674190078379
88	1335	834	881715740415
89	1348	842	989345275647
90	1356	847	1122382791663
91	1408	879	1444338092271
92	1411	881	1899148184679
93	1437	897	2081751768559
94	1440	899	2775669024745
95	1443	901	3700892032993
96	1549	966	3743559068799
97	1550	967	7487118137598
98	1563	975	7887663552367
99	1566	977	10516884736489
100	1569	979	14022512981985
101	1585	989	19536224150271
102	1588	991	26262557464201
103	1601	999	27667550250351
104	1617	1009	38903934249727
105	1638	1022	48575069253735
106	1651	1030	51173735510107
107	1659	1035	60650353197163
108	1662	1037	80867137596217
109	1820	1134	100759293214567
110	1823	1136	134345724286089
111	1847	1151	223656998090055
112	1853	1155	397612441048987
113	1856	1157	530149921398649
114	1859	1159	706866561864865
115	1862	1161	942488749153153
116	1865	1163	1256651665537537
117	1868		1675535554050049
118	1871		2234047405400065
119	1874		2978729873866753
120	1895		3586720916237671
121	1903		4320515538764287
122	1916		4861718551722727
123	1919		6482291402296969
124	1958		7579309213675935
125	2039		12769884180266527
126	2042		17026512240355369
127	2045		22702016320473825
128	2046		45404032640947650
129	2090		46785696846401151
130	2091		93571393692802302
131	2254		104899295810901231
132	2255		209798591621802462
133	2258		279731455495736617
134	2261		372975273994315489
135	2264		497300365325753985
136	2277		539483373894066267
137	2283		931386509544713451
138	2286		1278775404785934855
139	2330		1339302163616345727
140	2331		2678604327232691454
141	2334		3571472436310255273
142	2337		4761963248413673697
